timestamp,batch,exp_id,status,result,hypothesis,changes
2026-03-17 13:32:10,12,b12_hypercrazy_6,done,0.6519,"Hyper-Crazy: in_context_start=3, zero_init_residual_scale=false, bottleneck_dim=256, P_std=0.7, label_drop_prob=0.0, learned_pos_embed=true, proj_dropout=0.0, attn_dropout=0.4, mlp_ratio=16.0, skip_connections=true, in_context_len=4, grad_clip=10.0","{""blr"": ""3e-3"", ""in_context_start"": ""3"", ""zero_init_residual_scale"": ""false"", ""bottleneck_dim"": ""256"", ""P_std"": ""0.7"", ""label_drop_prob"": ""0.0"", ""learned_pos_embed"": ""true"", ""proj_dropout"": ""0.0"", ""attn_dropout"": ""0.4"", ""mlp_ratio"": ""16.0"", ""skip_connections"": ""true"", ""in_context_len"": ""4"", ""grad_clip"": ""10.0""}"
2026-03-17 13:32:25,12,b12_hypercrazy_7,done,0.3161,"Hyper-Crazy: shared_adaln=false, P_mean=-8.0, learned_pos_embed=true, bottleneck_dim=64, weight_decay=1.0, attn_dropout=0.1, sandwich_norm=false, mlp_ratio=12.0, grad_clip=10.0, P_std=0.3","{""blr"": ""3e-3"", ""shared_adaln"": ""false"", ""P_mean"": ""-8.0"", ""learned_pos_embed"": ""true"", ""bottleneck_dim"": ""64"", ""weight_decay"": ""1.0"", ""attn_dropout"": ""0.1"", ""sandwich_norm"": ""false"", ""mlp_ratio"": ""12.0"", ""grad_clip"": ""10.0"", ""P_std"": ""0.3""}"
2026-03-17 13:32:51,13,b13_exploit_0,done,0.3095,Exploit mutation: P_mean=-12.0,"{""blr"": ""3e-3"", ""P_std"": ""0.1"", ""P_mean"": ""-12.0"", ""zero_init_residual_scale"": ""false"", ""bottleneck_dim"": ""1536"", ""in_context_start"": ""5"", ""in_context_len"": ""64"", ""learned_pos_embed"": ""false"", ""proj_dropout"": ""0.4"", ""attn_dropout"": ""0.1"", ""skip_connections"": ""false"", ""weight_decay"": ""1e-2""}"
2026-03-17 13:33:05,13,b13_crazy_1,done,0.6181,"Crazy: shared_adaln=false, mlp_ratio=6.0, zero_init_residual_scale=true, in_context_len=256","{""blr"": ""3e-3"", ""shared_adaln"": ""false"", ""mlp_ratio"": ""6.0"", ""zero_init_residual_scale"": ""true"", ""in_context_len"": ""256""}"
2026-03-17 13:33:19,13,b13_crazy_2,done,0.2350,"Crazy: attn_dropout=0.0, P_std=0.15, zero_init_residual_scale=false, label_drop_prob=0.1","{""blr"": ""3e-3"", ""P_std"": ""0.15"", ""P_mean"": ""-2.0"", ""zero_init_residual_scale"": ""false"", ""bottleneck_dim"": ""1536"", ""in_context_start"": ""5"", ""in_context_len"": ""64"", ""learned_pos_embed"": ""false"", ""proj_dropout"": ""0.4"", ""attn_dropout"": ""0.0"", ""skip_connections"": ""false"", ""weight_decay"": ""1e-2"", ""label_drop_prob"": ""0.1""}"
2026-03-17 13:33:34,13,b13_crazy_3,done,0.2853,"Crazy: bottleneck_dim=64, sandwich_norm=true, zero_init_residual_scale=true, mlp_ratio=4.0, shared_adaln=true, in_context_start=11","{""blr"": ""3e-3"", ""P_std"": ""0.1"", ""P_mean"": ""-2.0"", ""zero_init_residual_scale"": ""true"", ""bottleneck_dim"": ""64"", ""in_context_start"": ""11"", ""in_context_len"": ""64"", ""learned_pos_embed"": ""false"", ""proj_dropout"": ""0.4"", ""attn_dropout"": ""0.1"", ""skip_connections"": ""false"", ""weight_decay"": ""1e-2"", ""sandwich_norm"": ""true"", ""mlp_ratio"": ""4.0"", ""shared_adaln"": ""true""}"
2026-03-17 13:33:48,13,b13_crazy_4,done,0.3076,"Crazy: attn_dropout=0.1, P_mean=-8.0, label_drop_prob=0.0, proj_dropout=0.2, shared_adaln=true","{""blr"": ""3e-3"", ""P_std"": ""0.1"", ""P_mean"": ""-8.0"", ""zero_init_residual_scale"": ""false"", ""bottleneck_dim"": ""1536"", ""in_context_start"": ""5"", ""in_context_len"": ""64"", ""learned_pos_embed"": ""false"", ""proj_dropout"": ""0.2"", ""attn_dropout"": ""0.1"", ""skip_connections"": ""false"", ""weight_decay"": ""1e-2"", ""label_drop_prob"": ""0.0"", ""shared_adaln"": ""true""}"
2026-03-17 13:34:04,13,b13_crazy_5,done,0.3148,"Crazy: proj_dropout=0.4, mlp_ratio=16.0, in_context_len=128, grad_clip=1.0, skip_connections=false","{""blr"": ""3e-3"", ""P_std"": ""0.1"", ""P_mean"": ""-2.0"", ""zero_init_residual_scale"": ""false"", ""bottleneck_dim"": ""1536"", ""in_context_start"": ""5"", ""in_context_len"": ""128"", ""learned_pos_embed"": ""false"", ""proj_dropout"": ""0.4"", ""attn_dropout"": ""0.1"", ""skip_connections"": ""false"", ""weight_decay"": ""1e-2"", ""mlp_ratio"": ""16.0"", ""grad_clip"": ""1.0""}"
2026-03-17 13:34:18,13,b13_hypercrazy_6,done,0.2541,"Hyper-Crazy: grad_clip=2.0, shared_adaln=true, label_drop_prob=0.1, P_std=0.1, in_context_start=5, sandwich_norm=true, in_context_len=4, bottleneck_dim=1024, skip_connections=false, P_mean=-1.0, weight_decay=0.0","{""blr"": ""3e-3"", ""grad_clip"": ""2.0"", ""shared_adaln"": ""true"", ""label_drop_prob"": ""0.1"", ""P_std"": ""0.1"", ""in_context_start"": ""5"", ""sandwich_norm"": ""true"", ""in_context_len"": ""4"", ""bottleneck_dim"": ""1024"", ""skip_connections"": ""false"", ""P_mean"": ""-1.0"", ""weight_decay"": ""0.0""}"
2026-03-17 13:34:32,13,b13_hypercrazy_7,done,0.3244,"Hyper-Crazy: bottleneck_dim=1024, skip_connections=true, label_drop_prob=0.1, mlp_ratio=8.0, shared_adaln=false, sandwich_norm=false, P_mean=-6.0, learned_pos_embed=true, zero_init_residual_scale=true, in_context_start=6","{""blr"": ""3e-3"", ""bottleneck_dim"": ""1024"", ""skip_connections"": ""true"", ""label_drop_prob"": ""0.1"", ""mlp_ratio"": ""8.0"", ""shared_adaln"": ""false"", ""sandwich_norm"": ""false"", ""P_mean"": ""-6.0"", ""learned_pos_embed"": ""true"", ""zero_init_residual_scale"": ""true"", ""in_context_start"": ""6""}"
2026-03-17 13:34:59,14,b14_exploit_0,done,0.2344,Exploit mutation: skip_connections=false,"{""blr"": ""3e-3"", ""P_std"": ""0.1"", ""P_mean"": ""-2.0"", ""zero_init_residual_scale"": ""false"", ""bottleneck_dim"": ""1536"", ""in_context_start"": ""5"", ""in_context_len"": ""64"", ""learned_pos_embed"": ""false"", ""proj_dropout"": ""0.4"", ""attn_dropout"": ""0.1"", ""skip_connections"": ""false"", ""weight_decay"": ""1e-2""}"
2026-03-17 13:35:13,14,b14_crazy_1,done,0.2360,"Crazy: grad_clip=2.0, label_drop_prob=0.5, in_context_len=32, shared_adaln=false","{""blr"": ""3e-3"", ""P_std"": ""0.1"", ""P_mean"": ""-2.0"", ""zero_init_residual_scale"": ""false"", ""bottleneck_dim"": ""1536"", ""in_context_start"": ""5"", ""in_context_len"": ""32"", ""learned_pos_embed"": ""false"", ""proj_dropout"": ""0.4"", ""attn_dropout"": ""0.1"", ""skip_connections"": ""false"", ""weight_decay"": ""1e-2"", ""grad_clip"": ""2.0"", ""label_drop_prob"": ""0.5"", ""shared_adaln"": ""false""}"
2026-03-17 13:35:25,14,b14_crazy_2,done,9.9915,"Crazy: sandwich_norm=true, mlp_ratio=12.0, in_context_len=256, zero_init_residual_scale=false, P_std=1.5","{""blr"": ""3e-3"", ""sandwich_norm"": ""true"", ""mlp_ratio"": ""12.0"", ""in_context_len"": ""256"", ""zero_init_residual_scale"": ""false"", ""P_std"": ""1.5""}"
2026-03-17 13:35:39,14,b14_crazy_3,done,0.2822,"Crazy: weight_decay=1e-3, sandwich_norm=false, skip_connections=true, grad_clip=0.1, zero_init_residual_scale=false","{""blr"": ""3e-3"", ""P_std"": ""0.1"", ""P_mean"": ""-2.0"", ""zero_init_residual_scale"": ""false"", ""bottleneck_dim"": ""1536"", ""in_context_start"": ""5"", ""in_context_len"": ""64"", ""learned_pos_embed"": ""false"", ""proj_dropout"": ""0.4"", ""attn_dropout"": ""0.1"", ""skip_connections"": ""true"", ""weight_decay"": ""1e-3"", ""sandwich_norm"": ""false"", ""grad_clip"": ""0.1""}"
2026-03-17 13:35:53,14,b14_crazy_4,done,0.3179,"Crazy: bottleneck_dim=1536, P_mean=-5.0, skip_connections=false, weight_decay=1e-4, P_std=1.5","{""blr"": ""3e-3"", ""bottleneck_dim"": ""1536"", ""P_mean"": ""-5.0"", ""skip_connections"": ""false"", ""weight_decay"": ""1e-4"", ""P_std"": ""1.5""}"
